CriticalPathDistance,Depth,NumNeighbours,NumRooms,CriticalPathLength
1,2,2,8,3
0,2,2,8,3
1,2,1,8,3
1,2,2,8,3
1,1,3,12,7
1,2,4,12,7
1,2,4,12,7
0,0,2,12,7
0,1,2,12,7
0,2,5,12,7
0,4,2,12,7
0,3,3,12,7
0,4,1,12,7
0,3,3,12,7
1,3,2,12,7
2,3,1,12,7
0,0,1,10,4
0,1,4,10,4
1,2,2,10,4
2,3,2,10,4
2,4,2,10,4
1,4,3,10,4
2,5,1,10,4
0,3,2,10,4
0,2,3,10,4
1,2,2,10,4
0,0,1,9,5
0,1,2,9,5
0,2,3,9,5
1,3,3,9,5
2,4,1,9,5
0,3,2,9,5
2,4,2,9,5
1,5,2,9,5
0,4,1,9,5
0,0,9,22,5
0,1,2,22,5
1,1,1,22,5
1,1,1,22,5
0,2,1,22,5
1,1,2,22,5
2,2,1,22,5
0,1,3,22,5
1,2,1,22,5
0,2,2,22,5
1,3,1,22,5
1,1,2,22,5
2,2,1,22,5
1,1,2,22,5
2,2,2,22,5
3,3,1,22,5
1,1,2,22,5
2,2,2,22,5
3,3,1,22,5
1,1,3,22,5
2,2,1,22,5
2,2,1,22,5
0,0,1,11,3
0,1,2,11,3
0,2,3,11,3
0,3,4,11,3
1,4,1,11,3
1,4,2,11,3
2,5,1,11,3
0,4,3,11,3
1,3,2,11,3
1,5,1,11,3
0,0,2,23,5
0,1,1,23,5
0,1,6,23,5
1,2,2,23,5
1,2,2,23,5
2,3,1,23,5
1,2,4,23,5
1,2,4,23,5
2,3,6,23,5
3,4,2,23,5
2,3,5,23,5
3,4,2,23,5
3,5,2,23,5
2,5,3,23,5
2,5,2,23,5
1,4,4,23,5
0,2,5,23,5
1,3,1,23,5
2,4,2,23,5
1,3,4,23,5
0,3,2,23,5
3,4,1,23,5
3,4,1,23,5
0,0,3,8,4
0,1,2,8,4
1,1,2,8,4
1,1,1,8,4
2,2,2,8,4
0,2,2,8,4
1,3,2,8,4
0,3,1,8,4
0,0,1,8,6
0,1,2,8,6
1,2,2,8,6
0,2,3,8,6
1,3,2,8,6
0,3,2,8,6
0,4,2,8,6
0,5,1,8,6
0,0,2,15,10
0,1,2,15,10
1,1,3,15,10
2,2,1,15,10
0,2,3,15,10
