CriticalPathDistance,Depth,NumNeighbours,NumRooms,CriticalPathLength
1,4,1,26,11
1,4,1,27,4
1,4,1,4,2
0,5,2,4,2
0,6,1,21,9
0,0,2,21,9
1,1,2,24,5
0,1,2,25,5
3,3,2,20,7
2,2,3,23,6
3,3,2,20,7
4,4,3,27,4
3,5,2,2,2
5,5,1,3,2
2,4,3,5,3
0,3,3,5,3
1,4,3,5,2
1,5,2,6,3
0,4,2,6,3
0,2,4,6,2
1,3,2,6,2
1,3,2,7,4
0,0,1,7,2
0,1,4,7,5
0,2,3,8,8
0,3,1,8,3
0,2,2,8,3
1,2,3,8,3
2,3,1,8,4
2,3,1,8,6
0,0,3,8,6
0,1,2,8,5
1,1,2,8,3
1,1,1,9,5
0,2,2,9,3
0,0,5,9,6
0,1,2,9,5
1,3,2,9,3
1,2,6,9,4
2,3,1,9,5
2,3,1,10,7
2,3,1,10,6
2,3,1,10,8
0,0,3,10,5
1,1,4,10,5
2,2,4,10,4
3,3,1,10,4
3,3,1,10,5
2,2,6,10,5
3,3,1,10,7
3,3,1,10,4
3,3,1,10,6
3,3,2,10,6
3,3,2,10,5
2,2,2,11,6
1,3,2,11,4
1,4,1,11,3
1,4,1,11,4
0,3,4,11,3
1,1,1,12,3
0,0,2,12,7
1,1,2,12,6
0,1,7,12,3
1,2,2,13,8
1,2,2,13,9
0,2,2,13,5
1,2,1,13,7
1,2,2,13,7
1,1,3,13,4
1,2,4,13,5
1,2,4,14,5
0,0,2,14,4
0,1,2,14,5
0,2,5,14,8
0,4,2,14,6
0,3,3,15,10
0,4,1,15,5
0,3,3,15,9
1,3,2,15,4
2,3,1,15,3
0,0,1,16,8
0,1,4,16,5
1,2,2,16,7
2,3,2,16,5
2,4,2,17,5
1,4,3,17,8
2,5,1,17,10
0,3,2,18,10
0,2,3,18,8
1,2,2,18,8
0,0,1,19,11
0,1,2,19,8
0,2,3,19,6
1,3,3,20,7
2,4,1,22,5
0,3,2,23,5
2,4,2,23,9
1,5,2,23,5
0,4,1,24,5
0,0,9,25,4
0,1,2,26,6
1,1,1,26,4
1,1,1,26,11
0,2,1,27,4
1,1,2,4,2
2,2,1,4,2
