CriticalPathDistance,Depth,NumNeighbours,NumRooms,CriticalPathLength
0,0,2,2,2
1,1,1,3,2
1,1,2,5,3
0,1,4,5,3
0,2,1,5,2
0,0,2,6,3
2,2,2,6,3
1,1,2,6,2
0,0,1,6,2
0,1,2,7,4
1,2,4,7,2
2,3,1,7,5
1,3,1,8,8
0,2,3,8,3
1,3,4,8,3
0,3,3,8,3
1,4,1,8,4
0,4,3,8,6
0,5,2,8,6
0,6,2,8,5
0,7,1,8,3
0,0,1,9,5
0,1,2,9,3
0,2,4,9,6
1,3,1,9,5
1,3,3,9,3
2,4,2,9,4
3,5,1,9,5
0,3,4,10,7
1,4,1,10,6
0,4,2,10,8
0,5,1,10,5
0,0,1,10,5
1,2,1,10,4
1,2,1,10,4
0,2,1,10,5
1,2,2,10,5
0,1,4,10,7
0,0,1,10,4
0,1,5,10,6
1,2,1,10,6
1,2,1,10,5
0,3,2,11,6
1,3,2,11,4
0,0,3,11,3
0,1,4,11,4
0,2,1,11,3
1,1,1,12,3
2,2,1,12,7
1,1,3,12,6
1,2,1,12,3
1,2,1,13,8
2,2,4,13,9
3,3,1,13,5
3,3,1,13,7
3,3,1,13,7
0,0,1,13,4
0,1,3,13,5
1,2,1,14,5
1,2,1,14,4
1,2,1,14,5
0,3,3,14,8
1,4,1,14,6
0,4,3,15,10
0,5,2,15,5
0,6,4,15,9
1,7,1,15,4
1,7,2,15,3
2,7,1,16,8
0,8,2,16,5
0,9,2,16,7
0,10,2,16,5
0,11,2,17,5
0,12,2,17,8
1,13,1,17,10
0,0,1,18,10
0,1,2,18,8
1,2,1,18,8
1,2,1,19,11
1,3,2,19,8
0,3,3,19,6
0,4,1,20,7
0,0,1,22,5
0,1,2,23,5
1,2,2,23,9
0,2,3,23,5
0,3,7,24,5
1,4,1,25,4
1,4,1,26,6
1,4,1,26,4
1,4,2,26,11
0,5,3,27,4
1,5,2,4,2
2,4,3,4,2
1,4,3,21,9
1,3,3,21,9
0,0,5,24,5
1,1,3,25,5
0,1,3,20,7
0,2,2,23,6
0,3,1,20,7
2,2,3,27,4
1,1,2,*,*
1,1,2,*,*
1,1,2,*,*
2,2,2,*,*
3,3,1,*,*
0,0,4,*,*
1,1,1,*,*
0,1,2,*,*
0,2,4,*,*
0,3,1,*,*
1,3,1,*,*
1,1,2,*,*
1,1,2,*,*
2,2,1,*,*
0,0,3,*,*
1,1,2,*,*
0,1,5,*,*
1,1,4,*,*
2,2,4,*,*
3,3,1,*,*
2,2,2,*,*
0,2,5,*,*
3,3,2,*,*
0,3,1,*,*
0,0,2,*,*
0,1,3,*,*
1,2,3,*,*
2,3,1,*,*
2,3,2,*,*
1,2,2,*,*
0,2,2,*,*
0,3,2,*,*
0,4,2,*,*
0,5,2,*,*
0,6,4,*,*
0,7,2,*,*
0,8,1,*,*
0,0,1,*,*
0,1,2,*,*
0,2,2,*,*
0,3,2,*,*
0,4,2,*,*
0,5,5,*,*
1,6,1,*,*
0,8,2,*,*
0,7,2,*,*
0,6,2,*,*
1,6,1,*,*
2,7,1,*,*
1,6,2,*,*
1,6,1,*,*
0,9,1,*,*
0,0,1,*,*
1,2,3,*,*
0,1,5,*,*
1,2,2,*,*
0,3,4,*,*
0,3,3,*,*
0,2,3,*,*
0,2,2,*,*
0,4,2,*,*
0,5,1,*,*
0,0,3,*,*
1,1,2,*,*
2,2,2,*,*
2,3,2,*,*
1,3,2,*,*
0,1,3,*,*
1,1,3,*,*
1,2,2,*,*
1,3,2,*,*
2,4,1,*,*
0,2,6,*,*
1,3,1,*,*
0,3,2,*,*
0,4,1,*,*
0,0,1,*,*
0,1,4,*,*
0,2,3,*,*
0,3,3,*,*
0,4,2,*,*
0,5,1,*,*
1,2,1,*,*
1,2,2,*,*
1,4,1,*,*
0,0,1,*,*
1,1,1,*,*
0,0,5,*,*
1,1,1,*,*
1,1,1,*,*
1,1,1,*,*
1,1,1,*,*
0,1,1,*,*
0,0,2,*,*
1,1,1,*,*
0,1,1,*,*
0,0,3,*,*
0,1,4,*,*
0,2,1,*,*
1,1,1,*,*
1,1,1,*,*
1,2,1,*,*
1,2,1,*,*
0,0,2,*,*
1,1,2,*,*
1,2,2,*,*
0,3,4,*,*
1,4,3,*,*
0,4,2,*,*
1,5,3,*,*
0,4,3,*,*
0,3,3,*,*
1,4,1,*,*
0,2,3,*,*
1,3,2,*,*
0,1,2,*,*
0,0,2,*,*
0,1,2,*,*
1,1,2,*,*
0,2,4,*,*
1,2,4,*,*
0,3,2,*,*
1,3,3,*,*
2,3,2,*,*
0,4,3,*,*
0,0,1,*,*
1,5,1,*,*
0,1,2,*,*
0,2,2,*,*
0,4,4,*,*
0,3,3,*,*
1,5,5,*,*
2,6,1,*,*
2,6,1,*,*
2,6,1,*,*
0,5,3,*,*
1,6,1,*,*
0,6,4,*,*
1,7,1,*,*
1,7,1,*,*
0,7,2,*,*
1,8,1,*,*
0,0,1,*,*
0,1,2,*,*
0,2,4,*,*
1,3,1,*,*
1,3,3,*,*
2,4,1,*,*
2,4,1,*,*
0,3,2,*,*
0,4,2,*,*
1,5,1,*,*
0,0,1,*,*
0,1,2,*,*
0,2,2,*,*
0,3,4,*,*
1,4,2,*,*
2,5,2,*,*
3,6,1,*,*
1,4,2,*,*
0,4,8,*,*
1,5,1,*,*
1,5,1,*,*
1,5,1,*,*
1,5,1,*,*
1,5,1,*,*
0,5,3,*,*
1,6,2,*,*
0,6,2,*,*
2,7,1,*,*
0,7,1,*,*
0,0,3,*,*
0,1,2,*,*
0,2,2,*,*
0,3,3,*,*
0,4,2,*,*
1,4,3,*,*
2,4,3,*,*
1,4,5,*,*
2,5,1,*,*
3,3,3,*,*
4,2,3,*,*
5,1,2,*,*
5,1,2,*,*
1,2,3,*,*
0,3,4,*,*
1,1,3,*,*
0,1,4,*,*
2,4,3,*,*
0,2,4,*,*
1,1,4,*,*
0,4,1,*,*
0,3,3,*,*
0,0,3,*,*
0,0,2,*,*
0,1,2,*,*
1,1,2,*,*
2,2,2,*,*
3,3,3,*,*
4,4,2,*,*
3,4,3,*,*
2,5,3,*,*
3,6,2,*,*
4,7,1,*,*
1,5,2,*,*
0,4,3,*,*
0,3,3,*,*
1,4,1,*,*
0,2,2,*,*
0,5,2,*,*
0,6,3,*,*
1,7,3,*,*
2,8,2,*,*
3,9,2,*,*
2,8,2,*,*
0,7,2,*,*
0,8,1,*,*
0,0,1,*,*
0,1,4,*,*
1,2,1,*,*
0,2,3,*,*
0,3,2,*,*
0,4,1,*,*
1,3,2,*,*
1,2,2,*,*
2,4,1,*,*
2,3,1,*,*
0,0,5,*,*
1,1,1,*,*
1,1,1,*,*
1,1,1,*,*
1,1,1,*,*
0,1,3,*,*
1,2,2,*,*
0,2,2,*,*
0,0,3,*,*
1,1,2,*,*
1,1,1,*,*
2,2,1,*,*
0,1,3,*,*
1,2,1,*,*
0,2,2,*,*
0,3,2,*,*
0,4,1,*,*
0,0,1,*,*
0,1,2,*,*
0,2,2,*,*
0,3,2,*,*
0,4,4,*,*
1,5,2,*,*
0,5,2,*,*
1,5,2,*,*
0,6,4,*,*
0,7,1,*,*
0,0,1,*,*
0,1,2,*,*
0,2,4,*,*
1,3,2,*,*
1,3,2,*,*
0,3,4,*,*
0,4,3,*,*
1,5,1,*,*
0,5,2,*,*
0,6,1,*,*
0,0,2,*,*
1,1,4,*,*
1,2,2,*,*
2,2,1,*,*
1,2,1,*,*
0,1,4,*,*
0,2,1,*,*
2,2,1,*,*
2,2,2,*,*
0,0,6,*,*
1,1,5,*,*
1,1,4,*,*
2,2,1,*,*
2,2,1,*,*
